algorithm,input_size,cost,runtime,tsp_file
random_restart,8,127.16385828586826,0:00:00.128375,Random9.tsp
brute_force,2,15.918324402140387,0:00:00.000003,Random6.tsp
brute_restart,2,15.918324402140387,0:00:00.000002,Random6.tsp
random,2,31.836648804280774,0:00:00.000003,Random6.tsp
greedy,2,31.836648804280774,0:00:00.000001,Random6.tsp
random_restart,2,31.836648804280774,0:00:00.026456,Random6.tsp
brute_force,3,46.310480402140385,0:00:00.000006,Random6.tsp
brute_restart,3,46.310480402140385,0:00:00.000005,Random6.tsp
random,3,62.19525780733878,0:00:00.000004,Random6.tsp
greedy,3,62.19525780733878,0:00:00.000002,Random6.tsp
random_restart,3,62.19525780733878,0:00:00.052446,Random6.tsp
brute_force,4,91.75326140809513,0:00:00.000017,Random6.tsp
brute_restart,4,91.75326140809513,0:00:00.000017,Random6.tsp
random,4,94.90357661667485,0:00:00.000010,Random6.tsp
greedy,4,103.75270576822433,0:00:00.000003,Random6.tsp
random_restart,4,91.75326140809513,0:00:00.085588,Random6.tsp
brute_force,5,106.39797777706406,0:00:00.000081,Random6.tsp
brute_restart,5,106.39797777706406,0:00:00.000090,Random6.tsp
random,5,129.08492253842476,0:00:00.000011,Random6.tsp
greedy,5,110.57742821862175,0:00:00.000004,Random6.tsp
random_restart,5,107.9208295815061,0:00:00.114613,Random6.tsp
brute_force,6,121.78745287044687,0:00:00.000531,Random6.tsp
brute_restart,6,121.78745287044687,0:00:00.000576,Random6.tsp
random,6,162.6802165007472,0:00:00.000016,Random6.tsp
greedy,6,118.96891407553862,0:00:00.000004,Random6.tsp
random_restart,6,118.627821222467,0:00:00.124195,Random6.tsp
brute_force,6,121.78745287044687,0:00:00.000562,Random6.tsp
brute_restart,6,121.78745287044687,0:00:00.000578,Random6.tsp
random,6,164.5414414059277,0:00:00.000009,Random6.tsp
greedy,6,118.96891407553862,0:00:00.000004,Random6.tsp
random_restart,6,118.627821222467,0:00:00.126519,Random6.tsp
brute_force,6,121.78745287044687,0:00:00.000537,Random6.tsp
brute_restart,6,121.78745287044687,0:00:00.000577,Random6.tsp
random,6,141.6311193584184,0:00:00.000008,Random6.tsp
greedy,6,118.96891407553862,0:00:00.000004,Random6.tsp
random_restart,6,118.627821222467,0:00:00.125621,Random6.tsp
brute_force,2,7.261751666433728,0:00:00.000003,Random12.tsp
brute_restart,2,7.261751666433728,0:00:00.000002,Random12.tsp
random,2,14.523503332867456,0:00:00.000005,Random12.tsp
